src1_x,src1_y,src1_z,src2_x,src2_y,src2_z,rlt_x,rlt_y,rlt_z
-2.35032,0.0214242,-0.019541,-2.35032,0.0214242,-0.019541,-2.35032,0.0214242,-0.019541
-2.39917,0.0255549,-0.0197975,-2.35033,0.0214333,-0.0195744,-2.35131,0.0215158,-0.0195789
-2.35643,0.0211291,-0.0238373,-2.35031,0.0214211,-0.0196079,-2.35139,0.0214961,-0.0196968
-2.32713,0.0227594,-0.02209,-2.35033,0.0214196,-0.0196306,-2.35092,0.0215198,-0.019767
-2.34162,0.0213876,-0.0202314,-2.35032,0.0214074,-0.0196426,-2.35072,0.0215052,-0.0197881
-2.29822,0.0224345,-0.0220027,-2.35031,0.0214165,-0.019644,-2.34966,0.0215328,-0.0198337
-2.30537,0.0211198,-0.0218966,-2.3503,0.0214257,-0.0196454,-2.34877,0.0215335,-0.0198763
-2.34617,0.0207244,-0.0202902,-2.3503,0.0214242,-0.0196468,-2.34872,0.0215158,-0.0198859
-2.27579,0.0223371,-0.0219072,-2.35029,0.0214226,-0.0196802,-2.34725,0.0215307,-0.0199591
-2.252,0.0175036,-0.020207,-2.35027,0.0214425,-0.0197029,-2.34533,0.0214696,-0.0199863
-2.31085,0.0253119,-0.0214916,-2.35027,0.0214516,-0.0197257,-2.34464,0.0215555,-0.0200387
-2.29444,0.0248212,-0.0222129,-2.35028,0.0214501,-0.0197163,-2.34365,0.0216193,-0.0200731
-2.3769,0.0211467,-0.0185413,-2.35028,0.0214486,-0.0197498,-2.34431,0.0216083,-0.0200752
-2.35872,0.0213668,-0.0206948,-2.35028,0.0214364,-0.0197618,-2.34459,0.0215915,-0.0200994
-2.37952,0.0190602,-0.021053,-2.35028,0.0214348,-0.019742,-2.34529,0.0215394,-0.020099
-2.3277,0.0211819,-0.0200252,-2.35028,0.0214121,-0.019754,-2.34494,0.02151,-0.0201094
-2.34461,0.0218968,-0.0212237,-2.35028,0.0213999,-0.0197554,-2.34494,0.0215058,-0.020133
-2.35628,0.0189913,-0.0204929,-2.35028,0.0214091,-0.0197781,-2.34516,0.0214644,-0.0201625
-2.34157,0.0203887,-0.0192338,-2.35027,0.0214182,-0.0198009,-2.34508,0.0214519,-0.0201662
-2.35914,0.0216812,-0.0210071,-2.35027,0.0214274,-0.0197916,-2.34537,0.0214655,-0.0201739
-2.26925,0.0247439,-0.0211776,-2.35027,0.0214258,-0.0198143,-2.34385,0.0215295,-0.0202162
-2.3451,0.0225904,-0.0197449,-2.35027,0.0214243,-0.0198264,-2.34386,0.0215492,-0.0202186
